epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71098,0.8363,3.98283,1.34283,0.00333,1,0.97055,0.76993,0.65541,2.93747,1.32686,0.00052,0.00052,0.00052
2,7.88325,0.68868,2.77295,1.23292,1,0.38249,0.95886,0.64265,0.71685,2.6917,1.61932,0.00103901,0.00103901,0.00103901
3,10.4531,0.78666,2.79061,1.28575,0.89404,0.93764,0.94512,0.54529,0.95098,1.89057,2.23947,0.00153664,0.00153664,0.00153664
4,13.0089,0.77045,2.42603,1.24528,0.73105,0.66667,0.74233,0.57911,0.71324,1.7293,1.48965,0.0018812,0.0018812,0.0018812
5,15.5373,0.85601,2.31609,1.32001,0.52184,0.81862,0.66597,0.4747,0.92432,2.15168,1.66203,0.0018416,0.0018416,0.0018416
6,17.9489,0.74807,2.30499,1.2425,0.87298,0.95473,0.97255,0.65625,1.03008,1.39475,2.75893,0.001802,0.001802,0.001802
7,20.3777,0.82993,1.97229,1.2894,0.98874,1,0.995,0.67698,1.04408,1.16781,2.8245,0.0017624,0.0017624,0.0017624
8,23.0012,0.78419,1.89205,1.23498,0.97181,0.95789,0.98828,0.64605,1.13023,1.69877,2.12342,0.0017228,0.0017228,0.0017228
9,25.9184,0.75252,1.93942,1.20204,0.98331,0.97222,0.98763,0.77137,0.80442,1.37651,1.55842,0.0016832,0.0016832,0.0016832
10,31.9967,0.69483,2.00019,1.17582,0.99452,1,0.995,0.81412,0.64583,1.27573,1.3337,0.0016436,0.0016436,0.0016436
11,38.6409,0.74255,1.87321,1.21224,0.87356,0.95977,0.97588,0.83378,0.63304,1.20133,1.2574,0.001604,0.001604,0.001604
12,44.8828,0.69903,1.93547,1.1933,0.94551,0.96418,0.97608,0.48433,1.37185,1.43974,1.98747,0.0015644,0.0015644,0.0015644
13,51.1326,0.6963,1.64089,1.16824,0.90131,0.86111,0.92474,0.46489,1.66753,1.20301,2.65275,0.0015248,0.0015248,0.0015248
14,57.3373,0.71149,1.73567,1.18749,0.67084,0.80556,0.61511,0.18081,2.0246,1.66144,3.70641,0.0014852,0.0014852,0.0014852
15,63.602,0.66863,1.63968,1.13573,1,0.88805,0.98924,0.84861,0.68453,1.36918,1.25396,0.0014456,0.0014456,0.0014456
16,69.7865,0.6023,1.57915,1.1032,0.95963,1,0.98527,0.67146,1.05691,1.14344,1.80928,0.001406,0.001406,0.001406
17,75.3458,0.63568,1.43755,1.15009,0.99366,1,0.995,0.78933,0.72259,0.95028,1.39173,0.0013664,0.0013664,0.0013664
18,78.2361,0.6753,1.58809,1.15226,0.99071,1,0.995,0.88024,0.50978,1.11096,1.13291,0.0013268,0.0013268,0.0013268
19,80.9612,0.61352,1.40406,1.09328,0.99406,1,0.995,0.85214,0.5553,0.91604,1.21673,0.0012872,0.0012872,0.0012872
20,83.8057,0.61014,1.41046,1.11443,0.99398,1,0.995,0.87187,0.52746,0.7498,1.15267,0.0012476,0.0012476,0.0012476
21,86.3671,0.62606,1.53723,1.13814,0.99149,1,0.995,0.90657,0.47703,0.77303,1.08773,0.001208,0.001208,0.001208
22,88.9436,0.63794,1.43929,1.15595,0.98884,1,0.995,0.90498,0.51459,0.80195,1.14431,0.0011684,0.0011684,0.0011684
23,91.4833,0.56081,1.36347,1.1127,0.99086,1,0.995,0.88999,0.48822,0.7525,1.10584,0.0011288,0.0011288,0.0011288
24,94.3083,0.57954,1.23383,1.09303,0.98952,1,0.995,0.80107,0.7186,0.86387,1.30718,0.0010892,0.0010892,0.0010892
25,96.9644,0.53458,1.33021,1.07805,0.98931,1,0.995,0.88451,0.4872,0.97878,1.12982,0.0010496,0.0010496,0.0010496
26,99.4873,0.53044,1.49652,1.10813,0.98342,1,0.995,0.90832,0.44661,0.95982,1.06802,0.00101,0.00101,0.00101
27,102.477,0.50749,1.29855,1.06688,0.98241,1,0.995,0.88777,0.46365,0.75306,1.09191,0.0009704,0.0009704,0.0009704
