F1/train,F1/val,epoch,step,val_loss
,0.38013651967048645,0,192,0.8190851211547852
0.35102570056915283,,0,192,
,0.3960440456867218,1,385,0.9123948812484741
0.3863693177700043,,1,385,
,0.3946378231048584,2,578,0.8133690357208252
0.39043453335762024,,2,578,
,0.3899708092212677,3,771,0.8127068877220154
0.38027146458625793,,3,771,
,0.3348211348056793,4,964,0.8510446548461914
0.39831680059432983,,4,964,
,0.36084672808647156,5,1157,0.8407276272773743
0.4034079313278198,,5,1157,
,0.3369657099246979,6,1350,0.8360130786895752
0.4015556573867798,,6,1350,
,0.38689154386520386,7,1543,0.7997027635574341
0.4086810052394867,,7,1543,
,0.4034700095653534,8,1736,0.8242157101631165
0.40995967388153076,,8,1736,
,0.44026920199394226,9,1929,0.8197985291481018
0.4255213439464569,,9,1929,
,0.4241163432598114,10,2122,0.787155270576477
0.4366879165172577,,10,2122,
,0.42801183462142944,11,2315,0.8243580460548401
0.4461800158023834,,11,2315,
,0.3918435573577881,12,2508,0.8044472336769104
0.4396028220653534,,12,2508,
,0.4090801775455475,13,2701,0.7821546196937561
0.4522673189640045,,13,2701,
,0.42538824677467346,14,2894,0.897338330745697
0.4661863148212433,,14,2894,
,0.4503444731235504,15,3087,0.8767670392990112
0.487229585647583,,15,3087,
,0.46642744541168213,16,3280,0.8983308672904968
0.4881625175476074,,16,3280,
,0.46329444646835327,17,3473,0.8358466625213623
0.5262299180030823,,17,3473,
